Player,Class,Season,Pos,School,Conf,G,MP,PER,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,PProd,ORtg,DRtg,OWS,DWS,WS,OBPM,DBPM,BPM
Matt Cline\matt-cline-1,,2010-11,,South Alabama,Sun Belt,1,1,327.4,1.5,1.5,0,0,0,0,0,0,0,97,5,300,117,0.1,0,0.1,100,-31.1,100
Jake Drum\jake-drum-1,SR,2011-12,F,Auburn,SEC,2,1,181.7,1.053,,0,0,0,0,61.6,0,0,50.2,2,250,-28,0,0,0,64.2,43.1,100
Levan Shengelia\levan-shengelia-1,FR,2010-11,F,Rhode Island,A-10,1,1,62.6,,,0,0,0,0,59.8,0,,0,0,0,-18.8,0,0,0,15.5,55.1,70.6
Trey Ford\trey-ford-1,FR,2015-16,G,Appalachian State,Sun Belt,1,1,141.7,1.5,1.5,0,0,0,0,0,0,0,47.9,3,300,114.4,0.1,0,0.1,76.4,-15.7,60.6
T'ziah Wood-Smith\tziah-wood-smith-1,SO,2012-13,G,Quinnipiac,NEC,3,4,66.4,0.333,0.333,26.4,64,43.4,66.9,29.6,0,0,36,3,109.8,25.9,0,0,0,24.8,34.2,59.1
Rashawn King\rashawn-king-1,FR,2012-13,G,North Carolina Central,MEAC,3,3,19.7,0.25,0.25,45.6,43,44.3,100,0,41.4,20,89.7,3,66.4,65.8,0,0,0,9,49.6,58.7
Hans Christian Lauer\hans-christian-lauer-1,JR,2015-16,F,Illinois-Chicago,Horizon,1,2,129.6,1.026,1,0,0,0,0,27.5,0,0,45.3,3,230.8,56.9,0,0,0.1,42.4,11.8,54.2
Taylor Trevisan\taylor-trevisan-1,SO,2010-11,G,Saint Joseph's,A-10,4,5,71.6,0.571,0.5,70.4,23.3,46.8,55.5,0,0,0,47.5,7,150.9,107.8,0.1,0,0.1,46.7,3.7,50.3
Lamar Bradbury\lamar-bradbury-1,JR,2011-12,F,Charlotte,A-10,1,1,181.2,1.5,1.5,0,100,58,0,0,0,0,50.1,3,300,60.4,0.1,0,0.1,70,-20.5,49.5
Troy Thomas\troy-thomas-1,FR,2012-13,G,Delaware,CAA,2,2,90.2,1.053,,0,0,0,0,30,0,0,24.3,2,250,48.8,0,0,0,29.6,18.6,48.3
Jared Harper\jared-harper-1,SO,2015-16,G,Fairfield,MAAC,3,1,74.9,,,0,100,54.1,0,55.4,0,,0,0,0,-56,0,0,0,2.6,45.5,48.1
Peyton Robbins\peyton-robbins-1,JR,2014-15,G,East Carolina,AAC,1,1,128.1,0.5,0.5,0,0,0,0,63.4,0,0,100,2,114.6,-23.7,0,0,0,18,30,48
Paddy Quinn\paddy-quinn-1,FR,2012-13,G,Columbia,Ivy,2,2,91.4,1,1,0,0,0,0,32.6,0,0,28.4,1,200,39.3,0,0,0,27.1,20.5,47.6
Lance Bailey\lance-bailey-1,FR,2010-11,G,Cal State Bakersfield,Ind,1,1,58.4,0,0,0,0,0,100,57.4,0,0,48.6,0,54,-3.8,0,0,0,5.2,41.6,46.8
Billy Kidd\billy-kidd-1,FR,2010-11,F,Delaware,CAA,1,1,7,0,0,100,0,59.1,100,0,0,0,55.2,1,89.8,106.4,0,0,0,23.6,22.3,45.9
Chris Barnum\chris-barnum-1,FR,2010-11,G,Stanford,Pac-10,1,2,53.9,,,59.6,0,30.2,0,30.4,0,,0,1,217.7,42.2,0,0,0,19.4,24.5,43.9
Jefkins Agyeman-Budu\jefkin-agyeman-budu-1,SO,2015-16,G,Grambling,SWAC,2,1,45.4,,,0,0,0,0,0,100,,0,0,0,57,0,0,0,-13.9,57.2,43.3
Rich Piekarski\rich-piekarski-1,FR,2011-12,G,Duquesne,A-10,1,1,80.8,0,0,100,0,61.2,100,0,0,0,50.3,2,115.2,118,0,0,0,23.5,19.6,43.1
Albert Nassar\albert-nassar-1,SO,2012-13,F,Syracuse,Big East,5,3,79.1,1.5,1.5,0,40.3,19.3,0,20.5,0,0,16.8,1,300,33.9,0,0,0,31.3,11.7,43
Desmond Maxwell\desmond-maxwell-1,FR,2013-14,G,San Diego State,MWC,4,9,51.4,0.571,0.571,0,38.2,19,82.7,0,12.4,0,40.4,8,145.3,78.9,0.1,0,0.1,27.6,14.8,42.4
Tre Hawkins\tre-hawkins-1,FR,2014-15,G,Miami (OH),MAC,1,1,106.3,,,0,0,0,100,61.1,0,,0,1,225.3,-20.3,0,0,0,12.9,27.8,40.8
Ky Feldman\ky-feldman-1,FR,2015-16,G,Syracuse,ACC,2,2,94.6,1,1,0,55.3,27.9,0,30.8,0,0,26.1,1,200,15.1,0,0,0,19.9,19.5,39.3
Justin Earls\justin-earls-1,SO,2015-16,F,Eastern Illinois,OVC,2,6,64.1,0.69,1,37.1,0,18.8,36.3,9.8,18.7,0,24.8,5,167.4,86.9,0.1,0,0.1,22.2,16.8,39
Spenser Dalton\spenser-dalton-1,JR,2014-15,G,North Carolina,ACC,2,2,30.2,,,0,0,0,0,28.9,0,,0,0,0,48.2,0,0,0,8.9,29.2,38.1
Brendan McNulty\brendan-mcnulty-1,SO,2010-11,G,Delaware,CAA,4,3,82.3,0.75,0.75,40.4,0,19.7,0,21.2,0,0,36.8,2,149.1,70.7,0,0,0,34.9,3.3,38.1
