Player,Class,Season,Pos,School,Conf,G,MP,PER,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,PProd,ORtg,DRtg,OWS,DWS,WS,OBPM,DBPM,BPM
Tshiefu Ngalakulondi\tshiefu-ngalakulondi-1,FR,2017-18,F,St. Bonaventure,A-10,15,66,35,0.696,0.717,10.7,23.7,17.4,21,5.2,11.2,16.2,23.5,34,126.4,85.3,0.3,0.2,0.5,7.7,10.2,17.9
Jay Huff\jay-huff-1,FR,2017-18,F,Virginia,ACC,12,105,28,0.712,0.72,7.5,19.9,13.9,8.3,0.6,17.7,12.2,18.1,36,131.9,81.3,0.3,0.4,0.7,3.8,13,16.8
Jaren Jackson Jr.\jaren-jacksonjr-1,FR,2017-18,F,Michigan State,Big Ten,33,731,27.5,0.654,0.604,8.5,19.5,14.7,9.4,1.7,14.6,17.4,23.8,338,121.1,85.9,2.3,2.2,4.5,5.4,10.7,16.1
Gary Clark\gary-clark-2,SR,2017-18,F,Cincinnati,AAC,31,860,29.4,0.602,0.557,12.5,20.9,16.8,14.9,3.2,5.3,8.2,20.6,395,135.4,80.6,3.6,3,6.6,7,8.8,15.8
Wendell Carter Jr.\wendell-carterjr-1,FR,2017-18,F,Duke,ACC,31,848,29.1,0.638,0.607,13.3,23.5,18.7,13.3,1.5,7.9,15.7,22.6,435,127.2,92.8,3.2,2,5.2,6.4,7.5,14
Anfernee McLemore\anfernee-mclemore-1,SO,2017-18,F,Auburn,SEC,27,525,23.9,0.621,0.597,10.2,19.4,14.8,4.9,2.1,15.8,12.9,16.5,193,124.7,92.5,1.3,1.2,2.6,3.2,10.6,13.8
Isaiah Wilkins\isaiah-wilkins-1,SR,2017-18,F,Virginia,ACC,30,830,18.9,0.533,0.5,9.3,19.7,14.6,11.4,2.9,7.3,14.3,13.7,214,115.9,81.9,1.4,2.8,4.2,2,11.7,13.7
Mikal Bridges\mikal-bridges-1,JR,2017-18,G,Villanova,Big East,31,1010,26.2,0.644,0.612,5.4,13.9,9.9,10.9,2.9,3.4,9.6,23.2,505,129.7,98.4,4,1.9,5.8,7.9,4.6,12.4
Jevon Carter\jevon-carter-1,SR,2017-18,G,West Virginia,Big 12,31,1066,24.4,0.548,0.495,2.8,13.2,7.8,35.2,4.7,1.3,14.9,24.9,566,118.8,94.2,3.5,2.4,5.8,7.7,4.6,12.4
Reggie Lynch\reggie-lynch-1,SR,2017-18,C,Minnesota,Big Ten,16,422,27.6,0.622,0.584,12.4,19.9,16.1,9.6,1.5,15.8,15.1,17.6,167,123.2,97.1,1.2,0.8,2,2.3,10.1,12.4
Kyle Alexander\kyle-alexander-1,JR,2017-18,F,Tennessee,SEC,30,607,20.6,0.705,0.697,13.2,18.2,15.8,3.5,1.8,9.3,16.2,11.3,162,133.9,93.2,1.4,1.4,2.8,3.2,8.8,12
Ethan Happ\ethan-happ-1,JR,2017-18,F,Wisconsin,Big Ten,33,1017,29.3,0.538,0.529,9.7,24.7,16.9,33.3,3,3.8,14.5,34.9,604,107.8,98.1,2.7,1.9,4.6,5.3,6.5,11.9
Jacob Evans\jacob-evans-1,JR,2017-18,G,Cincinnati,AAC,31,952,21.9,0.575,0.538,5.2,11.4,8.4,20.9,2.6,3.9,13.4,22,410,121.2,87.5,2.8,2.7,5.5,5.5,6.3,11.8
Trae Young\trae-young-1,FR,2017-18,G,Oklahoma,Big 12,31,1094,28.3,0.585,0.517,1.3,10,5.8,48.6,2.5,0.7,18.2,37.2,908,114.7,108,4.5,1,5.5,11.1,0.6,11.7
Zhaire Smith\zhaire-smith-1,FR,2017-18,G,Texas Tech,Big 12,31,868,23,0.63,0.6,8.9,10.6,9.8,11.5,2.3,4.4,11.3,18.4,350,129.7,95.1,2.8,1.9,4.7,5.5,6.1,11.6
Javin DeLaurier\javin-delaurier-1,SO,2017-18,F,Duke,ACC,27,363,19.6,0.627,0.627,15.6,18.9,17.4,6.3,3.1,4.7,18.7,12.5,112,126.2,92.9,0.8,0.9,1.7,4.7,6.8,11.5
Donta Hall\donta-hall-1,JR,2017-18,F,Alabama,SEC,30,717,28.2,0.699,0.733,11.4,20.3,16.1,5.7,1.7,10.2,14.6,19,296,127.1,94,2.2,1.6,3.8,4.2,7.3,11.5
Dean Wade\dean-wade-1,JR,2017-18,F,Kansas State,Big 12,31,1034,27.1,0.631,0.605,5.2,18.2,11.9,18.5,2.7,3.2,9.7,23.4,492,127.4,99.4,3.9,1.8,5.7,6.9,4.6,11.5
Robert Williams\robert-williams-3,SO,2017-18,F,Texas A&M,SEC,26,661,25.3,0.609,0.627,10.3,25.8,18.5,10.9,1.8,9.6,16.5,19.4,257,113.7,90.1,1.3,1.7,3.1,2.4,9.1,11.5
Devon Hall\devon-hall-1,SR,2017-18,G,Virginia,ACC,30,949,21.1,0.602,0.556,1.7,15.4,8.7,20.5,1.7,0.7,8.9,19.9,352,126.5,90,3,2.5,5.5,6.3,4.9,11.3
Josh Reaves\josh-reaves-1,JR,2017-18,G,Penn State,Big Ten,29,891,20.4,0.564,0.535,6.8,12.4,9.6,18.8,4.5,1.9,13.1,16.9,321,121,94.6,2.2,1.9,4.1,5.7,5.6,11.3
Mohamed Bamba\mohamed-bamba-1,FR,2017-18,F,Texas,Big 12,28,861,27.7,0.589,0.561,11.9,28.1,20,3.5,1.5,13,12.7,21.2,353,117.3,88.6,2.2,2.4,4.5,2,9.2,11.2
Dakota Mathias\dakota-mathias-1,SR,2017-18,G,Purdue,Big Ten,34,1064,20.7,0.653,0.634,0.6,13.6,7.7,23.1,2.4,0.9,13.1,18.3,421,128.6,97.4,3.4,2.1,5.4,7.9,3.2,11.2
Killian Tillie\killian-tillie-1,SO,2017-18,F,Gonzaga,WCC,34,880,26.8,0.682,0.668,8.1,17.9,13.3,11.6,1.7,4.4,13.7,21.9,423,130.7,94.2,3.5,2,5.4,6.4,4.7,11.2
Juwan Morgan\juwan-morgan-1,JR,2017-18,F,Indiana,Big Ten,31,912,29.5,0.614,0.602,10.6,18.5,14.6,12,2.4,5.4,10.9,26.2,473,122.7,99.3,3.4,1.6,5,6.6,4.5,11.1
Xavier Tillman\xavier-tillman-1,FR,2017-18,F,Michigan State,Big Ten,33,264,22,0.669,0.654,12.5,18.7,16,6.5,1.8,7.8,16.5,15,87,128.1,90.2,0.7,0.7,1.4,3.7,7.4,11.1
Paschal Chukwu\paschal-chukwu-1,JR,2017-18,C,Syracuse,ACC,33,902,18.6,0.662,0.663,12.7,16.1,14.4,3.4,1.7,12.9,22.4,10.1,197,121.5,95.5,1.4,1.9,3.3,0.9,10,10.9
Marvin Bagley III\marvin-bagleyiii-1,FR,2017-18,F,Duke,ACC,27,887,31,0.634,0.63,13.9,22.5,18.5,9.4,1.6,3.1,12.7,26.9,511,126.1,95.9,3.7,1.8,5.6,7.3,3.5,10.8
Jontay Porter\jontay-porter-1,FR,2017-18,F,Missouri,SEC,31,754,21.7,0.568,0.52,8,23.1,16.2,18.7,2,7.5,18.3,22.5,318,112.1,93.7,1.6,1.7,3.4,3.4,7.5,10.8
Kenrich Williams\kenrich-williams-1,SR,2017-18,G,Texas Christian,Big 12,30,1075,20.6,0.571,0.547,9.9,21.6,15.8,18.4,2.8,1.5,15.5,18.3,434,121.5,104.1,2.9,1.4,4.3,6.1,4.7,10.8
DeAndre Ayton\deandre-ayton-1,FR,2017-18,F,Arizona,Pac-12,31,1030,32.3,0.657,0.63,13,28.2,21.2,9.9,0.8,6.1,11.2,26.1,579,131.5,98.8,4.8,1.9,6.7,6.8,3.9,10.7
De'Ron Davis\deron-davis-1,,2017-18,F,Indiana,Big Ten,15,282,28.6,0.593,0.615,11.1,15.4,13.2,12.8,2.5,8.8,9,24.1,135,121.7,98.3,0.9,0.5,1.5,4.4,6.3,10.7
