Year,RSCI,Player
http://www.draftexpress.com/RSCI/2011/,1,"						Anthony Davis
						"
http://www.draftexpress.com/RSCI/2011/,2,"						Austin Rivers
						"
http://www.draftexpress.com/RSCI/2011/,3,"						Michael Kidd-Gilchrist
						"
http://www.draftexpress.com/RSCI/2011/,4,"						Bradley Beal
						"
http://www.draftexpress.com/RSCI/2011/,5,"						Quincy Miller
						"
http://www.draftexpress.com/RSCI/2011/,6,"						James McAdoo
						"
http://www.draftexpress.com/RSCI/2011/,7,"						Marquis Teague
						"
http://www.draftexpress.com/RSCI/2011/,8,"						Adonis Thomas
						"
http://www.draftexpress.com/RSCI/2011/,9,"						LeBryan Nash
						"
http://www.draftexpress.com/RSCI/2011/,10,"						Myck Kabongo
						"
http://www.draftexpress.com/RSCI/2011/,11,"						Khem Birch
						"
http://www.draftexpress.com/RSCI/2011/,12,"						Cody Zeller
						"
http://www.draftexpress.com/RSCI/2011/,13,"						P.J. Hairston
						"
http://www.draftexpress.com/RSCI/2011/,14,"						Jabari Brown
						"
http://www.draftexpress.com/RSCI/2011/,15,"						Kentavious Caldwell-Pope
						"
http://www.draftexpress.com/RSCI/2011/,16,"						Tony Wroten
						"
http://www.draftexpress.com/RSCI/2011/,17,"						B.J. Young
						"
http://www.draftexpress.com/RSCI/2011/,18,"						Kyle Wiltjer
						"
http://www.draftexpress.com/RSCI/2011/,19,"						Branden Dawson
						"
http://www.draftexpress.com/RSCI/2011/,20,"						Josiah Turner
						"
http://www.draftexpress.com/RSCI/2011/,21,"						Wayne Blackshear
						"
http://www.draftexpress.com/RSCI/2011/,22,"						Dorian Finney-Smith
						"
http://www.draftexpress.com/RSCI/2011/,23,"						Nick Johnson
						"
http://www.draftexpress.com/RSCI/2011/,24,"						Chane Behanan
						"
http://www.draftexpress.com/RSCI/2011/,25,"						Rakeem Christmas
						"
http://www.draftexpress.com/RSCI/2011/,26,"						Rodney Hood
						"
http://www.draftexpress.com/RSCI/2011/,27,"						Michael Carter-Williams
						"
http://www.draftexpress.com/RSCI/2011/,28,"						Michael Gbinije
						"
http://www.draftexpress.com/RSCI/2011/,29,"						Quinn Cook
						"
http://www.draftexpress.com/RSCI/2011/,30,"						Levi Randolph
						"
http://www.draftexpress.com/RSCI/2011/,31,"						Shannon Scott
						"
http://www.draftexpress.com/RSCI/2011/,32,"						LaQuinton Ross
						"
http://www.draftexpress.com/RSCI/2011/,33,"						Trevor Lacey
						"
http://www.draftexpress.com/RSCI/2011/,34,"						Otto Porter
						"
http://www.draftexpress.com/RSCI/2011/,35,"						Jahii Carson
						"
http://www.draftexpress.com/RSCI/2011/,36,"						Rashad Madden
						"
http://www.draftexpress.com/RSCI/2011/,37,"						Johnny O'Bryant
						"
http://www.draftexpress.com/RSCI/2011/,38,"						Jakarr Sampson
						"
http://www.draftexpress.com/RSCI/2011/,39,"						Ben McLemore
						"
http://www.draftexpress.com/RSCI/2011/,40,"						Sir'Dominic Pointer
						"
http://www.draftexpress.com/RSCI/2011/,41,"						Dai-Jon Parker
						"
http://www.draftexpress.com/RSCI/2011/,42,"						Sheldon McClellan
						"
http://www.draftexpress.com/RSCI/2011/,43,"						Moe Harkless
						"
http://www.draftexpress.com/RSCI/2011/,44,"						Amir Williams
						"
http://www.draftexpress.com/RSCI/2011/,45,"						Nick Faust
						"
http://www.draftexpress.com/RSCI/2011/,46,"						Sam Thompson
						"
http://www.draftexpress.com/RSCI/2011/,47,"						Michael Chandler
						"
http://www.draftexpress.com/RSCI/2011/,48,"						Ty Johnson
						"
http://www.draftexpress.com/RSCI/2011/,49,"						Deuce Bello
						"
http://www.draftexpress.com/RSCI/2011/,50,"						Marshall Plumlee
						"
http://www.draftexpress.com/RSCI/2011/,51,"						Norman Powell
						"
http://www.draftexpress.com/RSCI/2011/,52,"						Angelo Chol
						"
http://www.draftexpress.com/RSCI/2011/,53,"						Chris Jones
						"
http://www.draftexpress.com/RSCI/2011/,54,"						Jamal Branch
						"
http://www.draftexpress.com/RSCI/2011/,55,"						Ryan Boatright
						"
http://www.draftexpress.com/RSCI/2011/,56,"						Myles Mack
						"
http://www.draftexpress.com/RSCI/2011/,57,"						Erik Copes
						"
http://www.draftexpress.com/RSCI/2011/,58,"						Amir Garrett
						"
http://www.draftexpress.com/RSCI/2011/,59,"						DeAndre Daniels
						"
http://www.draftexpress.com/RSCI/2011/,60,"						Alex Murphy
						"
http://www.draftexpress.com/RSCI/2011/,61,"						Adjehi Baru
						"
http://www.draftexpress.com/RSCI/2011/,62,"						D'Angelo Harrison
						"
http://www.draftexpress.com/RSCI/2011/,63,"						Dez Wells
						"
http://www.draftexpress.com/RSCI/2011/,64,"						Norvel Pelle
						"
http://www.draftexpress.com/RSCI/2011/,65,"						Zach Price
						"
http://www.draftexpress.com/RSCI/2011/,66,"						Chasson Randle
						"
http://www.draftexpress.com/RSCI/2011/,67,"						Myke Henry
						"
http://www.draftexpress.com/RSCI/2011/,68,"						Antwan Space
						"
http://www.draftexpress.com/RSCI/2011/,69,"						Mike Shaw
						"
http://www.draftexpress.com/RSCI/2011/,70,"						Hunter Mickelson
						"
http://www.draftexpress.com/RSCI/2011/,71,"						Tracy Abrams
						"
http://www.draftexpress.com/RSCI/2011/,72,"						Kevin Ware
						"
http://www.draftexpress.com/RSCI/2011/,73,"						Julien Lewis
						"
http://www.draftexpress.com/RSCI/2011/,74,"						Jabarie Hinds
						"
http://www.draftexpress.com/RSCI/2011/,75,"						Robert Brown
						"
http://www.draftexpress.com/RSCI/2011/,76,"						Julian Royal
						"
http://www.draftexpress.com/RSCI/2011/,77,"						Sidiki Johnson
						"
http://www.draftexpress.com/RSCI/2011/,78,"						Carlton Brundidge
						"
http://www.draftexpress.com/RSCI/2011/,79,"						Joseph Uchebo
						"
http://www.draftexpress.com/RSCI/2011/,80,"						Malcolm Gilbert
						"
http://www.draftexpress.com/RSCI/2011/,81,"						Naadir Tharpe
						"
http://www.draftexpress.com/RSCI/2011/,82,"						Anthony Gill
						"
http://www.draftexpress.com/RSCI/2011/,83,"						Trey Burke
						"
http://www.draftexpress.com/RSCI/2011/,84,"						Aaron Thomas
						"
http://www.draftexpress.com/RSCI/2011/,85,"						Gary Bell
						"
http://www.draftexpress.com/RSCI/2011/,86,"						Jonathan Holmes
						"
http://www.draftexpress.com/RSCI/2011/,87,"						Malcolm Brogdon
						"
http://www.draftexpress.com/RSCI/2011/,88,"						Derrick Gordon
						"
http://www.draftexpress.com/RSCI/2011/,89,"						Andre Hollins
						"
http://www.draftexpress.com/RSCI/2011/,90,"						Tyler Adams
						"
http://www.draftexpress.com/RSCI/2011/,91,"						Mikael Hopkins
						"
http://www.draftexpress.com/RSCI/2011/,92,"						Nick Jacobs
						"
http://www.draftexpress.com/RSCI/2011/,93,"						Nnanna Egwu
						"
