player_name,href,pos,height,weight,team,birthday_code
Tahj Eaddy,/player/Tahj-Eaddy/Summary/107001,PG,6-1,165,Santa Clara,19400101
Tyree Eady,/player/Tyree-Eady/Summary/122363,G,6-5,200,North Dakota State,19400101
Xavier Eaglin,/player/Xavier-Eaglin/Summary/88545,SF,6-7,205,Prairie View A&M;,19400101
Vilontae Eanes,/player/Vilontae-Eanes/Summary/124695,G,6-2,170,Norfolk State,19400101
Brett Easterling,/player/Brett-Easterling/Summary/124734,G,6-1,165,Auburn,19400101
Nojel Eastern,/player/Nojel-Eastern/Summary/81684,G,6-6,220,Purdue,19990526
Marquis Eaton,/player/Marquis-Eaton/Summary/122321,G,6-2,196,Arkansas State,19400101
Liam Eberhardt,/player/Liam-Eberhardt/Summary/124745,F,6-7,190,Loyola Marymount,19400101
Sheldon Eberhardt,/player/Sheldon-Eberhardt/Summary/52699,GF,6-5,190,Elon,19951102
Shane Eberle,/player/Shane-Eberle/Summary/88554,C,6-11,255,Columbia,19960707
Gregory Eboigbodin,/player/Gregory-Eboigbodin/Summary/94060,F,6-9,220,Illinois,19400101
Ebube Ebube,/player/Ebube-Ebube/Summary/52010,PF,6-7,220,Manhattan,19971211
John Eck,/player/John-Eck/Summary/80593,SG,6-4,170,Charleston,19960228
Tereke Eckwood,/player/Tereke-Eckwood/Summary/99694,G,6-2,175,Mississippi Valley State,19400101
John Edgar,/player/John-Edgar/Summary/110475,F,6-5,217,UC Irvine,19400101
Darnell Edge,/player/Darnell-Edge/Summary/97701,G,6-1,185,Fairleigh Dickinson,19400101
Aaren Edmead,/player/Aaren-Edmead/Summary/81103,G,5-10,165,North Carolina A&T;,19960119
T.K. Edogi,/player/TK-Edogi/Summary/57099,F,6-8,220,Iona,19940202
Abrian Edwards,/player/Abrian-Edwards/Summary/122294,F,6-5,210,Sam Houston State,19400101
Andre Edwards,/player/Andre-Edwards/Summary/102498,F,6-6,190,East Tennessee State,19400101
Carsen Edwards,/player/Carsen-Edwards/Summary/93803,PG,6-0,190,Purdue,19980312
Cayne Edwards,/player/Cayne-Edwards/Summary/99019,G,6-4,220,Army,19400101
Cortez Edwards,/player/Cortez-Edwards/Summary/89122,PG,6-2,170,Southern Mississippi,19970501
Daryl Edwards,/player/Daryl-Edwards/Summary/108013,G,6-3,165,LSU,19960310
Drew Edwards,/player/Drew-Edwards/Summary/83997,SG,6-4,190,Providence,19970520
Hyron Edwards,/player/Hyron-Edwards/Summary/42818,PG,6-0,170,Colorado State,19961103
James Edwards,/player/James-Edwards/Summary/89514,PG,6-0,165,Air Force,19400101
Kai Edwards,/player/Kai-Edwards/Summary/109320,F,6-9,225,Northern Colorado,19400101
Kameron Edwards,/player/Kameron-Edwards/Summary/84272,PF,6-6,230,Pepperdine,19400101
Lorenzo Edwards,/player/Lorenzo-Edwards/Summary/107644,PF,6-7,220,Saint Joseph's,19400101
Mike Edwards,/player/Mike-Edwards/Summary/88687,C,6-9,225,Georgia,19970520
Ryan Edwards,/player/Ryan-Edwards/Summary/57581,C,7-1,290,Portland State,19400101
Saleik Edwards,/player/Saleik-Edwards/Summary/124608,G,6-3,210,Delaware State,19400101
Tyrik Edwards,/player/Tyrik-Edwards/Summary/112925,G,5-10,165,Jacksonville State,19980824
Vince Edwards,/player/Vince-Edwards/Summary/79905,F,6-8,225,Purdue,19960405
David Efianayi,/player/David-Efianayi/Summary/80486,G,6-2,185,Gardner-Webb,19951219
John Egbunu,/player/John-Egbunu/Summary/57416,C,6-11,265,Florida,19941031
Amanze Egekeze,/player/Amanze-Egekeze/Summary/81121,F,6-8,220,Belmont,19951203
Melo Eggleston,/player/Melo-Eggleston/Summary/88103,SF,6-8,187,Wake Forest,19980702
Christopher Egi,/player/Christopher-Egi/Summary/26699,PF,6-9,220,Harvard,19960919
Malik Eichler,/player/Malik-Eichler/Summary/63950,C,7-0,233,Detroit-Mercy,19970527
Grady Eifert,/player/Grady-Eifert/Summary/97438,F,6-6,220,Purdue,19960425
Emmanuel Ejeh,/player/Emmanuel-Ejeh/Summary/123483,C,6-8,220,Mississippi Valley State,19400101
Devine Eke,/player/Devine-Eke/Summary/85685,SF,6-8,201,Rider,19400101
Ike Eke,/player/Ike-Eke/Summary/117501,PF,6-9,225,Marquette,19980815
Nathan Ekwu,/player/Nathan-Ekwu/Summary/80313,F,6-7,245,Davidson,19950831
Ishmael El-Amin,/player/Ishmael-El-Amin/Summary/88795,PG,6-4,175,Ball State,19400101
Omar El-Sheikh,/player/Omar-El-Sheikh/Summary/121908,F,6-7,195,Fairfield,19400101
Spencer Eliason,/player/Spencer-Eliason/Summary/81504,F,6-9,240,North Dakota State,19960214
Brady Ellingson,/player/Brady-Ellingson/Summary/79854,G,6-4,193,Iowa,19960306
Greg Elliott,/player/Greg-Elliott/Summary/121490,G,6-3,170,Marquette,19990128
Christian Ellis,/player/Christian-Ellis/Summary/85821,PG,6-2,190,SIU-Edwardsville,19400101
Iwin Ellis,/player/Iwin-Ellis/Summary/122657,F,6-7,205,Prairie View A&M;,19400101
"Terry Ellis, Jr.",/player/Terry-Ellis-Jr/Summary/122309,G,6-2,160,Alabama A&M;,19400101
Malik Ellison,/player/Malik-Ellison/Summary/84066,SF,6-6,215,Pittsburgh,19960917
Malik Ellison,/player/Malik-Ellison/Summary/121806,G,5-8,160,Eastern Michigan,19400101
Jon Elmore,/player/Jon-Elmore/Summary/81641,G,6-3,184,Marshall,19951220
Matt Elmore,/player/Matt-Elmore/Summary/106723,PF,6-8,250,UNC Wilmington,19400101
Ot Elmore,/player/Ot-Elmore/Summary/58125,G,6-2,197,Marshall,19400101
Ben Emelogu,/player/Ben-Emelogu/Summary/56799,G,6-5,215,Southern Methodist,19941124
Will Emery,/player/Will-Emery/Summary/109382,F,6-9,215,Dartmouth,19970814
John Emezie,/player/John-Emezie/Summary/99020,F,6-6,215,Army,19400101
Chukuka Emili,/player/Chukuka-Emili/Summary/122269,F,6-7,210,Houston Baptist,19960706
Augustine Ene,/player/Augustine-Ene/Summary/122274,G,6-4,195,Incarnate Word,19980731
Nnamdi Enechionyia,/player/Nnamdi-Enechionyia/Summary/58786,GF,6-6,190,Saint Peter's,19931118
Obi Enechionyia,/player/Obi-Enechionyia/Summary/43397,FC,6-10,220,Temple,19950919
Alex Ennis,/player/Alex-Ennis/Summary/109450,FC,6-10,225,Morgan State,19961024
Steven Enoch,/player/Steven-Enoch/Summary/83916,PF,6-10,250,Louisville,19970918
Victor Enoh,/player/Victor-Enoh/Summary/88796,PF,6-8,235,Memphis,19980411
Jacob Epperson,/player/Jacob-Epperson/Summary/117452,C,6-11,200,Creighton,19980525
Aaron Epps,/player/Aaron-Epps/Summary/81030,F,6-10,214,LSU,19960428
Devin Epps,/player/Devin-Epps/Summary/81646,G,5-11,167,South Alabama,19960802
Ilker Er,/player/Ilker-Er/Summary/37681,SF,6-6,212,Maine,19940927
David Erebor,/player/David-Erebor/Summary/107294,C,6-9,230,Brown,19400101
Jamar Ergas,/player/Jamar-Ergas/Summary/72592,G,6-3,182,Washington State,19960401
Josh Erickson,/player/Josh-Erickson/Summary/122452,F,6-7,205,Idaho State,19400101
Brady Ernst,/player/Brady-Ernst/Summary/93381,PF,6-10,230,Florida Gulf Coast,19970214
Parker Ernsthausen,/player/Parker-Ernsthausen/Summary/80672,F,6-11,235,Wright State,19960521
Matt Erps,/player/Matt-Erps/Summary/122033,G,5-11,180,Winthrop,19400101
Michael Ertel,/player/Michael-Ertel/Summary/122850,G,6-2,175,Louisiana-Monroe,19400101
Austin Ervin,/player/Austin-Ervin/Summary/124687,F,6-5,247,Central Michigan,19400101
Jules Erving,/player/Jules-Erving/Summary/121451,F,6-6,185,California,19400101
J.T. Escobar,/player/JT-Escobar/Summary/71424,SG,6-2,182,North Florida,19960422
Lars Espe,/player/Lars-Espe/Summary/77678,PG,6-1,165,Montana,19980626
Jay Estime,/player/Jay-Estime/Summary/106492,SF,6-5,192,UNC Wilmington,19400101
Daniel Etoroma,/player/Daniel-Etoroma/Summary/121992,G,6-6,200,UNC Wilmington,19400101
Junior Etou,/player/Junior-Etou/Summary/56942,PF,6-8,235,Tulsa,19940604
Craig Eubanks,/player/Craig-Eubanks/Summary/90842,SG,6-4,200,Akron,19941026
Drew Eubanks,/player/Drew-Eubanks/Summary/83989,C,6-10,250,Oregon State,19970201
Andrew Eudy,/player/Andrew-Eudy/Summary/97564,F,6-7,210,Campbell,19960912
Auston Evans,/player/Auston-Evans/Summary/97645,G,6-6,186,Lafayette,19400101
Danny Evans,/player/Danny-Evans/Summary/107162,SG,6-4,203,Maine,19970125
Jacob Evans,/player/Jacob-Evans/Summary/83990,SG,6-6,210,Cincinnati,19970618
Jordan Evans,/player/Jordan-Evans/Summary/125484,SG,6-2,165,Mississippi Valley State,19400101
Ka'Davion Evans,/player/KaDavion-Evans/Summary/91706,PG,5-11,160,Louisiana-Lafayette,19970318
Keenan Evans,/player/Keenan-Evans/Summary/80278,G,6-3,190,Texas Tech,19960823
Keyshawn Evans,/player/Keyshawn-Evans/Summary/85562,PG,6-0,180,Illinois State,19960215
Max Evans,/player/Max-Evans/Summary/88105,SG,6-2,186,Vanderbilt,19980917
Shannon Evans,/player/Shannon-Evans/Summary/57374,G,6-1,160,Arizona State,19940719
Shaquille Evans,/player/Shaquille-Evans/Summary/126418,F,6-5,218,Canisius,19400101
Tre Evans,/player/Tre-Evans/Summary/86018,PG,6-2,185,Fordham,19400101
Ty'lik Evans,/player/Tylik-Evans/Summary/117705,G,5-7,175,Savannah State,19961125
Yaradyah Evans,/player/Yaradyah-Evans/Summary/121758,F,6-6,190,St. Francis (NY),19400101
Baker Evelyn,/player/Baker-Evelyn/Summary/85394,PG,6-2,180,Valparaiso,19970207
Eden Ewing,/player/Eden-Ewing/Summary/85279,SF,6-9,215,Purdue,19970112
Tobi Ewuosho,/player/Tobi-Ewuosho/Summary/123964,G,6-5,175,Alabama State,19400101
Vincent Eze,/player/Vincent-Eze/Summary/84929,PF,6-8,218,Maine,19950608
Dominic Ezeani,/player/Dominic-Ezeani/Summary/112870,G,5-11,165,Longwood,19400101
Karlis Garoza,/player/Karlis-Garoza/Summary/54329,C,6-9,230,Cal Poly,19981009
Brian Fabre,/player/Brian-Fabre/Summary/125800,G,5-10,160,Fairleigh Dickinson,19400101
Tragen Fahl,/player/Tragen-Fahl/Summary/122250,F,6-8,180,Virginia Military,19400101
Takiula Fahrensohn,/player/Takiula-Fahrensohn/Summary/121535,F,6-6,175,Portland,19400101
Keandre Fair,/player/Keandre-Fair/Summary/121983,G,6-1,190,Coppin State,19400101
Charles Falden,/player/Charles-Falden/Summary/122034,G,6-3,190,Winthrop,19400101
Tacko Fall,/player/Tacko-Fall/Summary/83961,C,7-6,290,UCF,19951210
Timmy Falls,/player/Timmy-Falls/Summary/105834,SG,6-2,171,Montana,19400101
Aaron Falzon,/player/Aaron-Falzon/Summary/73145,PF,6-8,225,Northwestern,19960519
Reed Farley,/player/Reed-Farley/Summary/88106,SF,6-4,190,Harvard,19400101
Hayden Farquhar,/player/Hayden-Farquhar/Summary/87237,PF,6-7,240,Abilene Christian,19961008
Zach Farquhar,/player/Zach-Farquhar/Summary/109337,G,5-9,160,Liberty,19400101
Matt Farrell,/player/Matt-Farrell/Summary/80113,G,6-1,178,Notre Dame,19960315
Traylin Farris,/player/Traylin-Farris/Summary/81327,F,6-8,225,Portland State,19400101
Jaron Faulds,/player/Jaron-Faulds/Summary/105365,C,6-10,220,Columbia,19400101
Jibreel Faulkner,/player/Jibreel-Faulkner/Summary/80532,F,6-8,200,Canisius,19960804
Mason Faulkner,/player/Mason-Faulkner/Summary/106907,SG,6-1,165,Northern Kentucky,19400101
Andrew Fava,/player/Andrew-Fava/Summary/125609,G,5-10,165,Florida,19400101
David Favorite,/player/David-Favorite/Summary/97647,G,6-3,200,Colgate,19400101
Matt Faw,/player/Matt-Faw/Summary/121708,F,6-9,210,Holy Cross,19400101
Phil Fayne,/player/Phil-Fayne/Summary/109367,F,6-9,200,Illinois State,19970415
Ryan Fazekas,/player/Ryan-Fazekas/Summary/83965,PF,6-8,215,Valparaiso,19961030
K.J. Feagin,/player/KJ-Feagin/Summary/84401,PG,6-1,190,Santa Clara,19400101
Richard Feagin,/player/Richard-Feagin/Summary/121801,G,6-1,N/A,Morehead State,19400101
Ray Featherston,/player/Ray-Featherston/Summary/109592,G,5-8,150,Syracuse,19400101
KeyShawn Feazell,/player/KeyShawn-Feazell/Summary/88797,PF,6-8,230,Mississippi State,19981023
Jase Febres,/player/Jase-Febres/Summary/121478,G,6-5,190,Texas,19400101
Robbie Feinberg,/player/Robbie-Feinberg/Summary/102226,G,6-3,200,Harvard,19400101
Isaiah Felder,/player/Isaiah-Felder/Summary/98966,G,6-0,180,Savannah State,19970625
Ky Feldman,/player/Ky-Feldman/Summary/97423,G,5-10,150,Syracuse,19400101
Jalek Felton,/player/Jalek-Felton/Summary/76234,G,6-3,190,North Carolina,19980501
Nile Felton,/player/Nile-Felton/Summary/109707,G,6-3,175,Georgia State,19970627
Parker Fennema,/player/Parker-Fennema/Summary/99021,F,6-6,215,Army,19400101
Alante Fenner,/player/Alante-Fenner/Summary/60100,G,6-5,180,Savannah State,19931117
Will Fenton,/player/Will-Fenton/Summary/124663,G,6-6,205,Marshall,19400101
Andrew Ferguson,/player/Andrew-Ferguson/Summary/107191,C,7-0,220,San Diego,19980917
Jack Ferguson,/player/Jack-Ferguson/Summary/121704,G,6-3,170,Colgate,19400101
Jeremiah Ferguson,/player/Jeremiah-Ferguson/Summary/107471,PG,6-2,180,Youngstown State,19400101
Josh Ferguson,/player/Josh-Ferguson/Summary/109343,F,6-8,220,Winthrop,19400101
Tarkus Ferguson,/player/Tarkus-Ferguson/Summary/106927,SG,6-4,180,Illinois-Chicago,19400101
Bruno Fernando,/player/Bruno-Fernando/Summary/91004,C,6-10,245,Maryland,19980815
Frankie Ferrari,/player/Frankie-Ferrari/Summary/81236,G,5-11,179,San Francisco,19951220
Vinny Ferrari,/player/Vinny-Ferrari/Summary/127368,G,5-11,175,San Diego,19980403
Matt Ferris,/player/Matt-Ferris/Summary/79930,G,6-6,200,Wisconsin,19400101
Donovan Fields,/player/Donovan-Fields/Summary/88563,PG,5-10,160,Cal Poly,19960111
Isaac Fields,/player/Isaac-Fields/Summary/109282,G,6-1,180,Clemson,19980319
Ozante Fields,/player/Ozante-Fields/Summary/110493,F,6-7,220,South Carolina State,19400101
Travis Fields,/player/Travis-Fields/Summary/107166,PG,5-9,150,Radford,19400101
Joshua Filmore,/player/Joshua-Filmore/Summary/58947,G,6-0,175,Southeastern Louisiana,19400101
Michael Finke,/player/Michael-Finke/Summary/61159,PF,6-10,230,Illinois,19960426
Nick Finke,/player/Nick-Finke/Summary/106733,PF,6-7,202,Army,19400101
Keith Fisher III,/player/Keith-Fisher-III/Summary/85769,C,6-8,215,San Jose State,19400101
Evan Fisher,/player/Evan-Fisher/Summary/84231,PF,6-8,230,Siena,19400101
Jaylen Fisher,/player/Jaylen-Fisher/Summary/85589,PG,6-2,195,Texas Christian,19970906
Kalin Fisher,/player/Kalin-Fisher/Summary/84859,PG,6-2,180,Hampton,19960924
Patrick Fisher,/player/Patrick-Fisher/Summary/85851,PG,6-4,200,San Diego State,19400101
Stefon Fisher,/player/Stefon-Fisher/Summary/122303,F,6-7,235,Stephen F. Austin,19400101
Matthew Fisher-Davis,/player/Matthew-Fisher-Davis/Summary/81058,GF,6-5,186,Vanderbilt,19960615
Malik Fitts,/player/Malik-Fitts/Summary/84378,SF,6-8,237,Saint Mary's,19400101
Davonte Fitzgerald,/player/Davonte-Fitzgerald/Summary/56694,F,6-8,220,Minnesota,19940902
Najee Fitzgerald,/player/Najee-Fitzgerald/Summary/124694,G,6-0,210,Maryland-Eastern Shore,19400101
Evan Fitzner,/player/Evan-Fitzner/Summary/81252,C,6-10,230,Saint Mary's,19400101
James Fives,/player/James-Fives/Summary/84734,SF,6-6,196,Loyola (MD),19400101
Mark Flagg,/player/Mark-Flagg/Summary/121768,F,6-8,195,St. Francis (PA),19400101
Savion Flagg,/player/Savion-Flagg/Summary/106524,SF,6-7,217,Texas A&M;,19990526
Jake Flaggert,/player/Jake-Flaggert/Summary/57095,GF,6-7,210,UTEP,19941202
Ido Flaisher,/player/Ido-Flaisher/Summary/75930,C,6-10,230,Hawaii,19980127
Skyler Flatten,/player/Skyler-Flatten/Summary/57506,G,6-6,215,South Dakota State,19400101
"Ferron Flavors, Jr.",/player/Ferron-Flavors-Jr/Summary/121909,G,6-4,180,Fairfield,19400101
Andrew Fleming,/player/Andrew-Fleming/Summary/71546,SG,6-6,205,Lipscomb,19960427
Andrew Fleming,/player/Andrew-Fleming/Summary/106808,SF,6-7,222,Maine,19400101
Devin Fleming,/player/Devin-Fleming/Summary/112932,G,6-2,180,USC,19970617
Isaac Fleming,/player/Isaac-Fleming/Summary/80539,G,6-3,215,East Carolina,19940606
"Phlandrous Fleming, Jr.",/player/Phlandrous-Fleming-Jr/Summary/122009,GF,6-4,195,Charleston Southern,19400101
Zack Flener,/player/Zack-Flener/Summary/122099,G,5-10,170,Lipscomb,19400101
Jacob Fleschman,/player/Jacob-Fleschman/Summary/109759,G,6-3,168,Tennessee,19980219
Armon Fletcher,/player/Armon-Fletcher/Summary/80784,G,6-4,190,Southern Illinois,19951119
Tre'Shaun Fletcher,/player/TreShaun-Fletcher/Summary/56832,GF,6-7,205,Toledo,19941005
Koh Flippin,/player/Koh-Flippin/Summary/98367,G,6-2,165,UC Riverside,19400101
Alex Floresca,/player/Alex-Floresca/Summary/85228,PF,6-8,230,San Diego,19400101
Phillip Flory,/player/Phillip-Flory/Summary/88109,SG,6-5,190,Seton Hall,19400101
Derrick Flowers,/player/Derrick-Flowers/Summary/122089,GF,6-3,195,Jacksonville,19981116
Michael Flowers,/player/Michael-Flowers/Summary/121851,G,6-2,190,Western Michigan,19400101
Tyrn Flowers,/player/Tyrn-Flowers/Summary/107336,PF,6-9,200,Long Island,19400101
Jehyve Floyd,/player/Jehyve-Floyd/Summary/84808,SF,6-7,212,Holy Cross,19400101
Joshua Floyd,/player/Joshua-Floyd/Summary/112092,G,6-4,195,Savannah State,19960220
Malachi Flynn,/player/Malachi-Flynn/Summary/89432,PG,6-1,170,Washington State,19980510
Abdul-Hakim Fofana,/player/Abdul-Hakim-Fofana/Summary/121566,GF,6-7,207,Missouri State,19400101
Mike Fofana,/player/Mike-Fofana/Summary/109533,F,6-8,190,Tennessee-Martin,19400101
Grant Fogerty,/player/Grant-Fogerty/Summary/121433,G,5-11,165,Arizona State,19400101
Spencer Foley,/player/Spencer-Foley/Summary/107158,SF,6-7,190,Canisius,19970201
Andrew Fonts,/player/Andrew-Fonts/Summary/121492,G,6-2,170,Providence,19400101
Jackson Forbes,/player/Jackson-Forbes/Summary/80706,F,6-6,220,Princeton,19400101
Aleem Ford,/player/Aleem-Ford/Summary/107603,SF,6-8,208,Wisconsin,19400101
Jordan Ford,/player/Jordan-Ford/Summary/85675,PG,6-1,160,Saint Mary's,19980526
Phoenix Ford,/player/Phoenix-Ford/Summary/121598,F,6-8,210,Richmond,19400101
Trey Ford,/player/Trey-Ford/Summary/99091,G,6-0,180,Appalachian State,19960516
Khwan Fore,/player/Khwan-Fore/Summary/80370,G,6-0,175,Richmond,19400101
Alex Foree,/player/Alex-Foree/Summary/109269,F,6-5,212,Tulsa,19970605
Jordan Forehand,/player/Jordan-Forehand/Summary/97692,G,6-0,180,St. Francis (PA),19400101
D.J. Foreman,/player/DJ-Foreman/Summary/71580,SF,6-8,240,Saint Louis,19400101
Darnell Foreman,/player/Darnell-Foreman/Summary/81589,G,6-1,170,Pennsylvania,19400101
Makale Foreman,/player/Makale-Foreman/Summary/106673,G,6-1,185,Chattanooga,19400101
Jaylen Fornes,/player/Jaylen-Fornes/Summary/106715,SG,6-3,205,UNC Wilmington,19400101
Justin Forrest,/player/Justin-Forrest/Summary/122320,G,6-2,195,Appalachian State,19400101
Trent Forrest,/player/Trent-Forrest/Summary/85602,SG,6-5,215,Florida State,19980612
Alex Foster,/player/Alex-Foster/Summary/59231,F,6-8,240,Albany,19941013
C.J. Foster,/player/CJ-Foster/Summary/81387,G,6-2,188,Arkansas State,19400101
Chase Foster,/player/Chase-Foster/Summary/81239,F,6-5,187,San Francisco,19960109
Elijah Foster,/player/Elijah-Foster/Summary/80953,F,6-7,240,Nevada,19400101
Jarrey Foster,/player/Jarrey-Foster/Summary/84081,SF,6-6,220,Southern Methodist,19400101
Jordan Foster,/player/Jordan-Foster/Summary/122278,C,6-9,225,Lamar,19400101
Kyle Foster,/player/Kyle-Foster/Summary/107556,SF,6-5,165,Howard,19400101
Marcus Foster,/player/Marcus-Foster/Summary/59224,G,6-3,210,Creighton,19950603
Tevin Foster,/player/Tevin-Foster/Summary/99324,G,6-0,175,Abilene Christian,19941121
Nana Foulland,/player/Nana-Foulland/Summary/81152,C,6-9,230,Bucknell,19951021
Bryce Fowler,/player/Bryce-Fowler/Summary/122073,F,6-6,195,Sacramento State,19400101
Daniel Fowler,/player/Daniel-Fowler/Summary/81268,G,6-4,203,Furman,19400101
Nate Fowler,/player/Nate-Fowler/Summary/84049,C,6-10,240,Butler,19970101
Andre Fox,/player/Andre-Fox/Summary/84804,SG,6-4,185,High Point,19960830
Ian Fox,/player/Ian-Fox/Summary/81538,G,6-0,175,Cal State Fullerton,19950522
Jordan Fox,/player/Jordan-Fox/Summary/99022,G,6-1,184,Army,19400101
Matt Fox,/player/Matt-Fox/Summary/80756,G,6-4,190,Bowling Green,19960708
Nourse Fox,/player/Nourse-Fox/Summary/81175,G,6-1,205,Navy,19400101
Christian Foxen,/player/Christian-Foxen/Summary/98549,F,6-8,227,Connecticut,19950115
James Foye,/player/James-Foye/Summary/107134,SG,6-4,190,Dartmouth,19970326
Dominik Fragala,/player/Dominik-Fragala/Summary/121931,G,6-0,175,Niagara,19400101
Luke Frampton,/player/Luke-Frampton/Summary/118882,SG,6-5,200,Davidson,19980801
Blake Francis,/player/Blake-Francis/Summary/112923,G,6-0,165,Wagner,19980103
Brandone Francis,/player/Brandone-Francis/Summary/52550,GF,6-5,205,Texas Tech,19950910
David Francis,/player/David-Francis/Summary/121877,GF,6-6,215,Bethune-Cookman,19400101
Perry Francois,/player/Perry-Francois/Summary/107609,C,6-8,225,Texas A&M-CC;,19400101
Conner Frankamp,/player/Conner-Frankamp/Summary/26751,PG,6-1,171,Wichita State,19950716
Garrett Franken,/player/Garrett-Franken/Summary/122057,F,6-7,195,North Dakota,19400101
Chace Franklin,/player/Chace-Franklin/Summary/61051,G,6-5,205,Jackson State,19400101
Jaylen Franklin,/player/Jaylen-Franklin/Summary/87229,SG,6-2,200,Abilene Christian,19951222
Jaylen Franklin,/player/Jaylen-Franklin/Summary/121593,G,6-0,175,Massachusetts,19400101
Myles Franklin,/player/Myles-Franklin/Summary/88134,PG,6-4,170,Northeastern,19400101
Spencer Franklin,/player/Spencer-Franklin/Summary/122022,F,6-8,210,Longwood,19400101
Robert Franks,/player/Robert-Franks/Summary/84439,C,6-7,240,Washington State,19400101
Donnell Frayer,/player/Donnell-Frayer/Summary/127740,G,6-2,170,Coppin State,19400101
Oscar Frayer,/player/Oscar-Frayer/Summary/85700,PF,6-7,190,Grand Canyon,19980115
Sam Frayer,/player/Sam-Frayer/Summary/85669,F,6-7,240,Ohio,19960202
Keith Frazier,/player/Keith-Frazier/Summary/24307,GF,6-5,190,UTEP,19940508
Melvin Frazier,/player/Melvin-Frazier/Summary/83909,SF,6-6,200,Tulane,19960830
Trent Frazier,/player/Trent-Frazier/Summary/105350,SG,6-2,170,Illinois,19400101
Akiean Frederick,/player/Akiean-Frederick/Summary/121825,F,6-9,N/A,Kent State,19400101
Noah Frederking,/player/Noah-Frederking/Summary/121556,G,6-4,210,Evansville,19400101
Allerik Freeman,/player/Allerik-Freeman/Summary/24672,SG,6-3,210,NC State,19941030
Chase Freeman,/player/Chase-Freeman/Summary/121772,G,5-11,165,Wagner,19400101
Deshawn Freeman,/player/Deshawn-Freeman/Summary/90008,SF,6-7,225,Rutgers,19400101
Lennard Freeman,/player/Lennard-Freeman/Summary/56790,F,6-8,265,NC State,19951210
Matt Freeman,/player/Matt-Freeman/Summary/76397,PF,6-10,224,Oklahoma,19971209
Toliver Freeman,/player/Toliver-Freeman/Summary/112843,G,6-3,212,Saint Joseph's,19400101
Hasahn French,/player/Hasahn-French/Summary/89019,SF,6-7,235,Saint Louis,19980309
Mark French,/player/Mark-French/Summary/109798,G,5-8,156,Texas A&M;,19970815
Joey Frenchwood,/player/Joey-Frenchwood/Summary/55854,PG,6-1,184,Lamar,19400101
Cal Freundlich,/player/Cal-Freundlich/Summary/112835,G,6-2,155,Davidson,19971204
Harald Frey,/player/Harald-Frey/Summary/49262,PG,6-1,150,Montana State,19970527
Konner Frey,/player/Konner-Frey/Summary/80934,F,6-6,200,Montana State,19930205
Raul Frias,/player/Raul-Frias/Summary/97698,G,6-1,165,Long Island,19400101
Jalone Friday,/player/Jalone-Friday/Summary/85116,PF,6-9,250,Abilene Christian,19960706
Sammy Friday,/player/Sammy-Friday/Summary/107424,PF,6-9,243,Siena,19400101
Ted Friedman,/player/Ted-Friedman/Summary/57190,C,6-9,245,Northern Iowa,19940706
Paul Friendshuh,/player/Paul-Friendshuh/Summary/80371,F,6-10,240,Richmond,19400101
Matt Frierson,/player/Matt-Frierson/Summary/87233,SG,6-1,150,Citadel,19400101
Shaquillo Fritz,/player/Shaquillo-Fritz/Summary/97723,F,6-8,202,Arkansas State,19941017
Byron Frohnen,/player/Byron-Frohnen/Summary/109395,G,6-5,210,Texas-San Antonio,19971204
Harry Froling,/player/Harry-Froling/Summary/54856,C,6-11,250,Marquette,19980420
Ahmad Frost,/player/Ahmad-Frost/Summary/84558,SG,6-0,185,Maryland-Eastern Shore,19960427
Nick Fruscio,/player/Nick-Fruscio/Summary/112815,G,5-10,155,Albany,19400101
Dylan Frye,/player/Dylan-Frye/Summary/107074,PG,6-2,170,Bowling Green,19970714
Ruben Fuamba,/player/Ruben-Fuamba/Summary/122064,F,6-9,230,Northern Arizona,19400101
John Fulkerson,/player/John-Fulkerson/Summary/107105,PF,6-9,210,Tennessee,19970429
Nick Fullard,/player/Nick-Fullard/Summary/82114,C,6-10,235,Virginia Tech,19960501
Cameron Fuller,/player/Cameron-Fuller/Summary/88092,PF,6-8,201,Army,19400101
Devonte Fuller,/player/Devonte-Fuller/Summary/103652,G,6-1,185,Western Carolina,19400101
Khalil Fuller,/player/Khalil-Fuller/Summary/84727,C,6-8,270,North Texas,19400101
Landon Fuller,/player/Landon-Fuller/Summary/114348,PF,6-8,230,Alabama,19970220
Nick Fuller,/player/Nick-Fuller/Summary/56671,F,6-7,204,South Dakota,19950502
Seth Fuller,/player/Seth-Fuller/Summary/109351,G,5-11,175,Elon,19971021
Travis Fuller,/player/Travis-Fuller/Summary/84451,SF,6-9,225,Brown,19400101
Josh Ibarra,/player/Josh-Ibarra/Summary/81324,C,6-11,250,Houston Baptist,19950126
Connor Fulton,/player/Connor-Fulton/Summary/107958,PG,6-4,175,Ohio State,19400101
Ryan Funk,/player/Ryan-Funk/Summary/90407,SG,6-5,190,Marist,19400101
