Player,Class,Season,Pos,School,Conf,G,MP,PER,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,PProd,ORtg,DRtg,OWS,DWS,WS,OBPM,DBPM,BPM
Moataz Aly\moataz-aly-1,JR,2016-17,C,Cal State Bakersfield,WAC,31,380,14.5,0.588,0.633,10.6,12.7,11.6,4.4,1.4,18.1,27.7,11.3,80,100.9,86.5,0.2,1.1,1.3,-3.4,12,8.6
Jyles Smith\jyles-smith-1,JR,2012-13,F,Savannah State,MEAC,34,691,15.1,0.433,0.406,10.6,22.9,16.4,6.6,3.1,14.7,25.2,12,118,85.5,78.1,-0.1,2.4,2.2,-5.5,12,6.5
Isaiah Wilkins\isaiah-wilkins-1,SR,2017-18,F,Virginia,ACC,26,719,18.9,0.525,0.488,9.6,19.9,14.9,11.6,3,7.4,15.1,13.8,186,114.5,80.7,1.2,2.5,3.7,1.7,12,13.8
Chris Obekpa\chris-obekpa-1,FR,2012-13,C,St. John's (NY),Big East,33,857,16.3,0.445,0.451,9.3,17.7,13.2,7.6,2.1,15.8,23.4,11.1,159,90,91.7,0.1,1.8,1.9,-2.4,11.9,9.5
Anas Mahmoud\anas-mahmoud-1,JR,2016-17,F,Louisville,ACC,31,580,20.8,0.6,0.623,9,14.6,11.8,8,2.7,12.6,19.3,15.4,177,111.7,89.6,0.9,1.5,2.4,2.3,11.7,14
Nerlens Noel\nerlens-noel-1,FR,2012-13,F,Kentucky,SEC,24,765,27.3,0.583,0.59,10.4,23.9,17.4,9.5,3.9,13.2,17.3,17.4,257,112.9,82.3,1.6,2.3,3.9,2.9,11.7,14.6
Chris Obekpa\chris-obekpa-1,SO,2013-14,C,St. John's (NY),Big East,32,642,16.9,0.541,0.563,10.2,16.5,13.4,7.2,1.3,15.7,23,11.7,144,103.2,93.9,0.4,1.5,1.9,-1,11.2,10.2
Jaren Jackson Jr.\jaren-jacksonjr-1,FR,2017-18,F,Michigan State,Big Ten,29,643,28.1,0.671,0.624,8.5,19.7,14.9,10.1,1.7,14.6,18.1,23.6,303,122.6,84.5,2.1,2,4.1,5.7,11.1,16.8
Justin Jackson\justin-jackson-3,SR,2013-14,F,Cincinnati,AAC,34,944,25.8,0.524,0.532,13.6,17.4,15.5,14.8,3.7,12,15.7,23.5,382,107.1,84.6,1.6,3,4.6,1.9,11.1,12.9
Sagaba Konate\sagaba-konate-1,FR,2016-17,F,West Virginia,Big 12,37,403,20.4,0.581,0.564,11.7,17.9,14.6,4.5,1.9,16,20.1,19,145,106.4,86.8,0.6,1.2,1.7,-0.5,11.1,10.6
Jeff Withey\jeff-withey-1,JR,2011-12,C,Kansas,Big 12,39,968,25.2,0.614,0.536,10.2,19.9,15.2,5.6,1.5,15.3,14.9,17.6,346,122.4,86,2.7,2.6,5.4,2.7,11.1,13.8
Gorgui Dieng\gorgui-dieng-1,JR,2012-13,C,Louisville,Big East,33,1026,23.8,0.562,0.534,12.9,23.6,18.1,12.3,2.6,9.4,17,17,352,115.9,81.9,2.5,3.2,5.6,4,11,15
Willie Cauley-Stein\willie-cauley-stein-1,SO,2013-14,F,Kentucky,SEC,37,880,23.6,0.58,0.596,12.6,16.3,14.5,5.7,3,12.3,12.5,14.1,260,122.8,91.5,1.9,2.2,4.1,4.1,10.8,14.9
Anthony Davis\anthony-davis-5,FR,2011-12,F,Kentucky,SEC,40,1281,35.1,0.654,0.628,11.6,25.6,19,7.5,2.5,13.7,8.6,18.8,550,139,80.7,5.9,4.1,9.9,7.8,10.8,18.7
