Player,Season,Team,GP,MP,O-PIPM,D-PIPM,PIPM,Wins Added
Andrew Wiggins,2016-17,MIN,82,"3,048.1",1.73,-2.93,-1.20,2.39
Karl-Anthony Towns,2016-17,MIN,82,"3,029.9",3.38,-1.34,2.05,8.75
James Harden,2016-17,HOU,81,"2,947.6",6.65,-1.25,5.40,14.41
Giannis Antetokounmpo,2016-17,MIL,80,"2,845.4",2.41,2.60,5.01,13.62
John Wall,2016-17,WAS,78,"2,835.8",3.47,-0.91,2.56,9.13
Jimmy Butler,2016-17,CHI,76,"2,808.9",3.93,2.12,6.04,15.27
Harrison Barnes,2016-17,DAL,79,"2,803.3",-0.56,0.61,0.05,4.48
Russell Westbrook,2016-17,OKC,81,"2,802.3",5.90,1.05,6.96,16.59
C.J. McCollum,2016-17,POR,80,"2,795.6",2.68,-0.97,1.72,7.51
LeBron James,2016-17,CLE,74,"2,793.0",6.45,0.92,7.37,16.73
Trevor Ariza,2016-17,HOU,80,"2,772.9",2.09,0.56,2.65,9.00
Rudy Gobert,2016-17,UTA,81,"2,743.9",1.51,5.61,7.11,16.61
Kemba Walker,2016-17,CHO,79,"2,739.9",4.06,0.49,4.55,12.37
Devin Booker,2016-17,PHO,78,"2,730.2",1.01,-2.14,-1.13,2.22
Anthony Davis,2016-17,NOP,75,"2,706.9",1.73,3.49,5.22,13.51
Damian Lillard,2016-17,POR,75,"2,692.7",5.17,-1.46,3.71,10.61
Paul George,2016-17,IND,75,"2,688.9",2.92,0.60,3.52,10.39
Bradley Beal,2016-17,WAS,77,"2,683.8",4.20,-1.08,3.12,9.59
Jeff Teague,2016-17,IND,82,"2,656.8",1.96,-0.44,1.51,6.82
Gorgui Dieng,2016-17,MIN,82,"2,653.4",-1.04,2.39,1.36,6.52
Klay Thompson,2016-17,GSW,78,"2,648.7",3.27,-0.96,2.30,8.07
Stephen Curry,2016-17,GSW,79,"2,638.5",8.06,1.06,9.11,18.16
DeMar DeRozan,2016-17,TOR,74,"2,620.6",2.21,-2.91,-0.71,2.88
Nicolas Batum,2016-17,CHO,77,"2,616.7",0.62,0.06,0.68,5.28
Otto Porter,2016-17,WAS,80,"2,605.3",1.94,1.04,2.98,9.11
DeAndre Jordan,2016-17,LAC,81,"2,570.0",2.24,4.45,6.69,14.69
Isaiah Thomas,2016-17,BOS,76,"2,568.0",7.60,-3.70,3.90,10.29
Tobias Harris,2016-17,DET,82,"2,566.9",0.94,0.55,1.49,6.60
Marcus Morris,2016-17,DET,79,"2,565.0",-0.63,0.28,-0.35,3.39
Marcin Gortat,2016-17,WAS,82,"2,555.1",-0.43,0.70,0.27,4.45
Myles Turner,2016-17,IND,81,"2,540.4",0.70,2.90,3.60,9.97
Carmelo Anthony,2016-17,NYK,74,"2,538.5",1.64,-2.60,-0.96,2.37
Marc Gasol,2016-17,MEM,74,"2,530.1",1.63,0.49,2.12,7.53
Kentavious Caldwell-Pope,2016-17,DET,76,"2,528.4",0.45,-1.38,-0.93,2.37
Kyrie Irving,2016-17,CLE,72,"2,524.5",4.88,-1.58,3.30,9.20
Gordon Hayward,2016-17,UTA,73,"2,516.6",3.53,0.53,4.06,10.62
Hassan Whiteside,2016-17,MIA,77,"2,512.6",0.51,1.84,2.36,7.86
Wesley Matthews,2016-17,DAL,73,"2,495.3",-0.74,-0.22,-0.97,2.27
Dennis Schroder,2016-17,ATL,79,"2,483.8",0.16,-2.45,-2.29,0.06
Kawhi Leonard,2016-17,SAS,74,"2,474.5",5.50,0.11,5.62,12.69
