Year,RSCI,Player
http://www.draftexpress.com/RSCI/2004/,1,"						Dwight Howard
						"
http://www.draftexpress.com/RSCI/2004/,2,"						Shaun Livingston
						"
http://www.draftexpress.com/RSCI/2004/,3,"						Al Jefferson
						"
http://www.draftexpress.com/RSCI/2004/,4,"						Josh Smith
						"
http://www.draftexpress.com/RSCI/2004/,5,"						Rudy Gay
						"
http://www.draftexpress.com/RSCI/2004/,6,"						Sebastian Telfair
						"
http://www.draftexpress.com/RSCI/2004/,7,"						Marvin Williams
						"
http://www.draftexpress.com/RSCI/2004/,8,"						J.R. Smith
						"
http://www.draftexpress.com/RSCI/2004/,9,"						Robert Swift
						"
http://www.draftexpress.com/RSCI/2004/,10,"						Malik Hairston
						"
http://www.draftexpress.com/RSCI/2004/,11,"						Randolph Morris
						"
http://www.draftexpress.com/RSCI/2004/,12,"						Glen Davis
						"
http://www.draftexpress.com/RSCI/2004/,13,"						LaMarcus Aldridge
						"
http://www.draftexpress.com/RSCI/2004/,14,"						D.J. White
						"
http://www.draftexpress.com/RSCI/2004/,15,"						Joe Crawford
						"
http://www.draftexpress.com/RSCI/2004/,16,"						Darius Washington
						"
http://www.draftexpress.com/RSCI/2004/,17,"						Juan Palacios
						"
http://www.draftexpress.com/RSCI/2004/,18,"						Jawann McClellan
						"
http://www.draftexpress.com/RSCI/2004/,19,"						DeMarcus Nelson
						"
http://www.draftexpress.com/RSCI/2004/,20,"						Daniel Gibson
						"
http://www.draftexpress.com/RSCI/2004/,21,"						Jordan Farmar
						"
http://www.draftexpress.com/RSCI/2004/,22,"						Rajon Rondo
						"
http://www.draftexpress.com/RSCI/2004/,23,"						Mike Williams
						"
http://www.draftexpress.com/RSCI/2004/,24,"						A.J. Price
						"
http://www.draftexpress.com/RSCI/2004/,25,"						Corey Brewer
						"
http://www.draftexpress.com/RSCI/2004/,26,"						Dorell Wright
						"
http://www.draftexpress.com/RSCI/2004/,27,"						Arron Afflalo
						"
http://www.draftexpress.com/RSCI/2004/,28,"						Jason Rich
						"
http://www.draftexpress.com/RSCI/2004/,29,"						Isaiah Swann
						"
http://www.draftexpress.com/RSCI/2004/,30,"						Marquise Gray
						"
http://www.draftexpress.com/RSCI/2004/,31,"						Kyle Lowry
						"
http://www.draftexpress.com/RSCI/2004/,32,"						Robert Vaden
						"
http://www.draftexpress.com/RSCI/2004/,33,"						Russell Robinson
						"
